POWER_3,POWER_4,POWER_5,POWER_6,POWER_7,ACTUAL_PRICE,DATE
143.23073142177773,143.0744211364579,142.82358615431804,142.7272733246282,142.29534693844835,143.95,2007-12-31
143.9801444249268,143.96719372731013,143.34805172629422,143.31481109330707,143.31547356457327,146.6,2008-01-01
144.7732853328862,144.79466349060453,144.49122250840264,144.44808621888865,144.42315851831722,145.8,2008-01-02
147.1069015103881,147.22305555267212,147.02112269640747,147.02538270405967,147.03782037825124,151.8,2008-01-03
146.57382802975326,146.58151644091882,146.13353031786392,146.1677734284558,146.20554451009457,151.0,2008-01-04
151.19109396507008,151.8665743197671,151.57777523173718,151.6378960137372,151.6827817528938,149.75,2008-01-07
150.4830980690091,150.9791205438196,150.95972471032292,151.0066294244607,151.0425821680692,144.65,2008-01-08
149.58033625838107,149.73624292300065,149.9973768837517,149.996277619819,149.99777475520023,142.35,2008-01-09
144.78093115337106,145.30456579455495,145.37419729755493,145.39563354011625,145.41488028864114,138.95,2008-01-10
142.76100906940474,142.9508350172764,143.7777237985283,143.70887492850306,143.65156541353645,141.05,2008-01-11
139.97187841855384,139.75583750237638,140.08620139653794,140.0571749676019,140.00406350007688,143.2,2008-01-14
141.66847011499567,141.6630890702836,142.1645850094501,142.15984156593913,142.10013133654866,138.85,2008-01-15
143.39159512884453,143.59544328841002,143.96630823577289,143.95577142226102,143.92722325097566,136.0,2008-01-16
139.8133745656428,139.92513791242527,139.88491427511326,139.90756997432618,139.92272881427925,139.65,2008-01-17
137.23347038766087,137.2656182509818,137.1524574465002,137.21663029391493,137.26367940572572,133.15,2008-01-18
140.15706490057892,140.90616530524858,140.93681974895298,140.91236144438153,140.93324898084393,110.5,2008-01-21
130.52815541222947,129.17655344279774,127.82640885800356,127.90069608845806,127.99495650480458,99.4,2008-01-22
104.27200762753273,98.79193004457466,99.0435994007048,98.96961079812445,98.88910533865874,110.5,2008-01-23
109.24664866882858,110.78557897334213,110.60035204565065,110.61921788871348,110.65590793500576,110.75,2008-01-24
108.74767325567177,108.43454240242954,108.70569888928003,108.67773376426885,108.6418064049339,116.45,2008-01-25
109.80047448295,109.82130644694598,109.89880143217147,109.93625815969361,109.96400775455393,117.7,2008-01-28
113.51908148549569,113.5352092820051,113.60802835056393,113.53384980032843,113.48704441133373,115.75,2008-01-29
114.03344875283165,113.99041318412287,113.8978022572337,113.8642841955184,113.84267900214468,109.35,2008-01-30
111.79694982275214,111.59036541446994,111.88284259697502,111.76984448411122,111.67708068717684,102.2,2008-01-31
107.93267745077446,107.57053057152143,107.07462380407014,107.22328862580616,107.36832793457302,105.75,2008-02-01
107.87710386357958,107.97858316910447,107.88140750101047,107.93115573953764,107.97201556262917,111.2,2008-02-04
108.01852260674968,107.99238290946187,107.90162414858378,107.97992719068668,108.04511363415907,114.65,2008-02-05
109.89207227126212,109.82103550182433,109.77240978927875,109.79381290178912,109.81640344524266,113.65,2008-02-06
111.74925972159735,111.65691840574868,111.63672442623715,111.61096886062393,111.59319886318252,108.3,2008-02-07
110.87993534076486,110.74246638684599,110.78180009263542,110.7523344181061,110.73057665408419,105.5,2008-02-08
107.4826082400698,107.1869307758011,106.78211765120795,106.93660228547469,107.08889676356671,98.05,2008-02-11
105.26661941595285,105.42362389979084,106.15734533573595,106.13270770640702,106.09414201704396,96.3,2008-02-12
